Country or Area,Urban Net attendance ratio in primary education (NAR),Ratio of richest to poorest Net attendance ratio in primary education (NAR),Female Net attendance ratio in primary education (NAR),Poorest 20% Net attendance ratio in primary education (NAR),Richest 20% Net attendance ratio in primary education (NAR),Ratio of urban to rural Net attendance ratio in primary education (NAR),Rural Net attendance ratio in primary education (NAR),Male Net attendance ratio in primary education (NAR)
Georgia,97.0,1.1,75.0,92.0,98.0,1.0,95.0,76.0
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,80.0,1.4,98.0,62.0,86.0,1.2,68.0,98.0
Greece,96.6,0.78,83.0,39.4,48.0,1.0,96.6,83.2
Grenada,96.0,1.7,76.5,51.0,87.0,1.0,96.5,79.5
Guatemala,90.25,0.9,87.0,52.75,59.0,1.075,85.0,85.75
Guinea,74.53333333333333,1.1733333333333333,76.4,63.06666666666667,76.13333333333334,1.5266666666666668,52.0,78.06666666666666
Guinea-Bissau,84.0,1.1,91.0,81.0,93.0,1.5,57.0,87.0
Guyana,96.0,1.7,28.0,52.0,86.0,1.0,94.0,32.0
Haiti,96.0,1.7,76.5,51.0,87.0,1.0,96.5,79.5
Honduras,92.0,1.5,80.0,28.0,42.0,1.1,86.0,78.0
Hungary,81.5,0.7,85.5,34.0,46.5,0.95,85.5,85.5
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,81.0,0.8666666666666666,73.83333333333333,28.5,43.666666666666664,1.1666666666666667,72.83333333333333,74.66666666666667
Indonesia,99.0,1.0,79.0,92.0,96.0,1.0,97.0,76.0
Iran (Islamic Republic of),81.0,0.8666666666666666,73.83333333333333,28.5,43.666666666666664,1.1666666666666667,72.83333333333333,74.66666666666667
Iraq,92.0,1.4,84.0,61.0,86.0,1.2,78.0,82.0
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,88.16666666666667,1.0333333333333332,80.33333333333333,63.333333333333336,74.66666666666667,1.0833333333333333,80.83333333333333,81.5
Italy,96.6,0.78,83.0,39.4,48.0,1.0,96.6,83.2
