Country or Area,Richest 20% Learning materials at home - Children's books,Female Net enrolment ratio in secondary education,Total Learning materials at home - Children's books,Male Net enrolment ratio in secondary education,Poorest 20% Learning materials at home - Children's books,Female Net attendance ratio in secondary education,Female Gross enrolment ratio in pre-primary education,Male Net attendance ratio in secondary education,Proportion of pupils starting grade 1 who reach grade 5,Gross enrolment ratio in lower secondary education
Iraq,0.5892255892255893,0.5978260869565217,0.32302405498281783,0.6436781609195402,0.2293906810035841,0.3469387755102041,0.14864864864864866,0.4693877551020408,0.8664383561643836,0.6140350877192983
Ireland,0.5195381487834321,1.0,0.3423123473600035,0.9885057471264368,0.2406934018619961,0.5798192532827089,0.6486486486486487,0.5703755339345039,0.9452054794520548,0.7982456140350878
Israel,0.5892255892255893,1.0,0.32302405498281783,0.9770114942528736,0.2293906810035841,0.7346938775510204,0.7297297297297297,0.7460317460317459,0.9863013698630136,0.6578947368421053
Italy,0.8101010101010101,0.9347826086956522,0.44948453608247424,0.9425287356321842,0.4,0.8857142857142857,0.6418918918918919,0.8877551020408163,1.0,0.7719298245614035
Jamaica,0.9393939393939394,0.8586956521739131,0.8350515463917526,0.7816091954022989,0.7096774193548387,0.9489795918367347,0.7567567567567568,0.9081632653061223,0.9315068493150684,0.631578947368421
Japan,0.4848484848484849,1.0,0.2371134020618557,1.0,0.06451612903225806,0.6428571428571429,0.3716216216216216,0.6224489795918368,1.0,0.7368421052631579
Jordan,0.5892255892255893,0.8695652173913043,0.32302405498281783,0.8160919540229885,0.2293906810035841,0.9081632653061223,0.20270270270270271,0.8673469387755102,0.8664383561643836,0.6578947368421053
Kazakhstan,0.7676767676767676,0.8695652173913043,0.7835051546391752,0.8850574712643678,0.25806451612903225,0.9693877551020408,0.3108108108108108,0.9693877551020408,1.0,0.7543859649122807
Kenya,0.101010101010101,0.43478260869565216,0.030927835051546393,0.4597701149425287,0.021505376344086027,0.42857142857142855,0.34459459459459457,0.4081632653061225,0.4520547945205479,0.631578947368421
Kiribati,0.5195381487834321,0.2282608695652173,0.3423123473600035,0.26436781609195403,0.2406934018619961,0.6428571428571429,0.08108108108108109,0.5612244897959183,0.3972602739726027,0.7017543859649122
Kuwait,0.5892255892255893,0.9239130434782608,0.32302405498281783,0.8505747126436781,0.2293906810035841,0.7346938775510204,0.5540540540540541,0.7460317460317459,0.9452054794520548,0.7982456140350878
Kyrgyzstan,0.8585858585858586,0.7717391304347826,0.030927835051546393,0.7701149425287356,0.8172043010752689,0.9285714285714286,0.12162162162162166,0.8979591836734694,0.9726027397260274,0.6578947368421053
Lao People's Democratic Republic,0.1111111111111111,0.32608695652173914,0.29896907216494845,0.3448275862068966,0.010752688172043013,0.32653061224489793,0.14189189189189189,0.3979591836734694,0.3972602739726027,0.3157894736842105
Latvia,0.5195381487834321,0.8260869565217391,0.3423123473600035,0.8160919540229885,0.2406934018619961,0.5798192532827089,0.5472972972972973,0.5703755339345039,0.9315068493150684,0.6666666666666666
Lebanon,0.5892255892255893,0.7717391304347826,0.32302405498281783,0.6781609195402298,0.2293906810035841,0.8673469387755102,0.5405405405405406,0.7857142857142857,0.8904109589041096,0.6228070175438597
Lesotho,0.12121212121212124,0.31521739130434784,0.041237113402061855,0.1264367816091954,0.010752688172043013,0.4081632653061225,0.11486486486486487,0.2653061224489796,0.5753424657534246,0.34210526315789475
Liberia,0.21212121212121213,0.2282608695652173,0.08247422680412371,0.26436781609195403,0.010752688172043013,0.14285714285714285,0.08783783783783784,0.14285714285714285,0.5616438356164384,0.2368421052631579
Libya,0.5252525252525253,0.5978260869565217,0.21649484536082475,0.6436781609195402,0.0967741935483871,0.5127551020408163,0.14864864864864866,0.5076530612244898,0.7842465753424658,0.6140350877192983
Liechtenstein,0.5195381487834321,0.6086956521739131,0.3423123473600035,0.5977011494252874,0.2406934018619961,0.5798192532827089,0.7027027027027027,0.5703755339345039,0.7123287671232876,0.7368421052631579
Lithuania,0.5195381487834321,0.9021739130434784,0.3423123473600035,0.9080459770114944,0.2406934018619961,0.5798192532827089,0.4864864864864865,0.5703755339345039,0.9726027397260274,0.6754385964912281
Luxembourg,0.5195381487834321,0.8478260869565217,0.3423123473600035,0.8275862068965517,0.2406934018619961,0.5798192532827089,0.5743243243243243,0.5703755339345039,0.9452054794520548,0.7982456140350878
Madagascar,0.101010101010101,0.17391304347826084,0.030927835051546393,0.1264367816091954,0.021505376344086027,0.2857142857142857,0.054054054054054064,0.2755102040816326,0.1095890410958904,0.20175438596491227
Malawi,0.101010101010101,0.2065217391304348,0.030927835051546393,0.1839080459770115,0.021505376344086027,0.20408163265306128,0.11486486486486487,0.19387755102040816,0.3561643835616438,0.18421052631578946
